#Name	Accession	Description	Length	Related
AAA_13	PF13166.9	AAA domain	714	No
4_1_CTD	PF05902.16	4.1 protein C-terminal domain (CTD)	107	No
AAA_15	PF13175.9	AAA ATPase domain	374	No
AAA_16	PF13191.9	AAA ATPase domain	170	No
Fer4_11	PF13247.9	4Fe-4S dicluster domain	100	No
Fer4_18	PF13746.9	4Fe-4S dicluster domain	114	No
Fer4_12	PF13353.9	4Fe-4S single cluster domain	137	No
AAA_2	PF07724.17	AAA domain (Cdc48 subfamily)	171	No
AAA_21	PF13304.9	"AAA domain, putative AbiEii toxin, Type IV TA system"	304	No
Fer4_14	PF13394.9	4Fe-4S single cluster domain	118	No
AAA_23	PF13476.9	AAA domain	200	No
AAA_24	PF13479.9	AAA domain	196	No
AAA_25	PF13481.9	AAA domain	194	No
AAA_26	PF13500.9	AAA domain	198	No
AAA_27	PF13514.9	AAA domain	207	No
AAA_28	PF13521.9	AAA domain	163	No
3-alpha	PF03475.17	3-alpha domain	44	No
ACPS	PF01648.23	4'-phosphopantetheinyl transferase superfamily	114	No
AAA_30	PF13604.9	AAA domain	192	No
AAA_31	PF13614.9	AAA domain	177	No
MMR_HSR1	PF01926.26	50S ribosome-binding GTPase	114	No
Mrpl_C	PF18502.4	54S ribosomal protein L8 C-terminal domain	111	No
AAA_34	PF13872.9	P-loop containing NTP hydrolase pore-1	302	No
AAA_35	PF14516.9	AAA-like domain	331	No
Preseq_ALAS	PF09029.13	5-aminolevulinate synthase presequence	114	No
AAA_6	PF12774.10	Hydrolytic ATP binding site of dynein motor region	327	No
AAA_7	PF12775.10	P-loop containing dynein motor region	181	No
AAA_8	PF12780.10	P-loop containing dynein motor region D4	259	No
AAA_9	PF12781.10	ATP-binding dynein motor region	222	No
3D	PF06725.14	3D domain	75	No
PriA_3primeBD	PF17764.4	3'DNA-binding domain (3'BD)	96	No
CHMI	PF02962.18	5-carboxymethyl-2-hydroxymuconate isomerase	125	No
CstA_5TM	PF13722.9	5TM C-terminal transporter carbon starvation CstA	117	No
3H	PF02829.17	3H domain	97	No
DMRL_synthase	PF00885.22	"6,7-dimethyl-8-ribityllumazine synthase"	141	No
3HCDH	PF00725.25	"3-hydroxyacyl-CoA dehydrogenase, C-terminal domain"	97	No
3HCDH_RFF	PF18321.4	3-hydroxybutyryl-CoA dehydrogenase reduced Rossmann-fold domain	69	No
ACP_syn_III	PF08545.13	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III	80	No
MupG_C	PF05913.14	"6-phospho-N-acetylmuramidase, C-terminal"	119	No
ACP_syn_III_C	PF08541.13	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal	90	No
PTPS	PF01242.22	6-pyruvoyl tetrahydropterin synthase	123	No
40S_S4_C	PF16121.8	40S ribosomal protein S4 C-terminus	48	No
HPPK	PF01288.23	"7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)"	111	No
AAA_PrkA	PF08298.14	PrkA AAA domain	358	No
7TMR-DISMED2	PF07696.14	7TMR-DISM extracellular 2	134	No
Tnp_P_element_C	PF12596.11	87kDa Transposase	106	No
AAL_decarboxy	PF03306.16	Alpha-acetolactate decarboxylase	219	No
AAR2	PF05282.14	AAR2 protein	369	No
40S_SA_C	PF16122.8	40S ribosomal protein SA C-terminus	95	No
AAT	PF03417.19	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase	227	No
AATase	PF07247.15	Alcohol acetyltransferase	500	No
OGG_N	PF07934.15	"8-oxoguanine DNA glycosylase, N-terminal domain"	121	No
AA_kinase	PF00696.31	Amino acid kinase family	241	No
AA_permease	PF00324.24	Amino acid permease	479	No
AA_permease_2	PF13520.9	Amino acid permease	427	No
MGTA_C	PF09178.13	"4-alpha-glucanotransferase, C-terminal"	50	No
4F5	PF04419.17	4F5 protein related disordered region	38	No
AA_synth	PF06684.14	Amino acid synthesis	176	No
Aa_trans	PF01490.21	Transmembrane amino acid transporter protein	409	No
AHH	PF14412.9	A nuclease family of the HNH/ENDO VII superfamily with conserved AHH	112	No
AAA_14	PF13173.9	AAA domain	130	No
ABA_GPCR	PF12430.11	Abscisic acid G-protein coupled receptor	182	No
Fer4	PF00037.30	4Fe-4S binding domain	24	No
Fer4_2	PF12797.10	4Fe-4S binding domain	22	No
ABC-3	PF00950.20	ABC 3 transport family	258	No
ABC1	PF03109.19	ABC1 atypical kinase-like domain	244	No
ABC2_membrane	PF01061.27	ABC-2 type transporter	210	No
ABC2_membrane_2	PF12679.10	ABC-2 family transporter protein	288	No
ABC2_membrane_3	PF12698.10	ABC-2 family transporter protein	346	No
ABC2_membrane_4	PF12730.10	ABC-2 family transporter protein	179	No
ABC2_membrane_5	PF13346.9	ABC-2 family transporter protein	205	No
ABC2_membrane_6	PF06182.14	ABC-2 family transporter protein	229	No
ABC2_membrane_7	PF19055.3	ABC-2 type transporter	409	No
ABC_ATPase	PF09818.12	ATPase of the ABC class	283	No
AAA_17	PF13207.9	AAA domain	136	No
ABC_export	PF16962.8	Putative ABC exporter	533	No
ABC_membrane	PF00664.26	ABC transporter transmembrane region	274	No
ABC_membrane_2	PF06472.18	ABC transporter transmembrane region 2	269	No
ABC_membrane_3	PF13748.9	ABC transporter transmembrane region	235	No
ABC_N	PF20446.1	ATPase of the ABC class N-terminal	163	No
ABC_sub_bind	PF04392.15	ABC transporter substrate binding protein	293	No
AAA_18	PF13238.9	AAA domain	129	No
AAA_19	PF13245.9	AAA domain	147	No
ABC_transp_aux	PF09822.12	ABC-type uncharacterized transport system	265	No
ABC_trans_aux	PF03886.16	ABC-type transport auxiliary lipoprotein component	161	No
AAA_22	PF13401.9	AAA domain	137	No
Fer4_3	PF12798.10	4Fe-4S binding domain	15	No
ABC_tran_2	PF16949.8	Putative ATP-binding cassette	542	No
Fer4_4	PF12800.10	4Fe-4S binding domain	17	No
Fer4_5	PF12801.10	4Fe-4S binding domain	48	No
Fer4_6	PF12837.10	4Fe-4S binding domain	24	No
AAA_33	PF13671.9	AAA domain	143	No
Fer4_10	PF13237.9	4Fe-4S dicluster domain	56	No
ABG_transport	PF03806.16	AbgT putative transporter family	502	No
ABHD18	PF09752.12	Alpha/beta hydrolase domain containing 18	352	No
Abhydrolase_1	PF00561.23	alpha/beta hydrolase fold	257	No
Abhydrolase_10	PF20091.2	Alpha/beta hydrolase domain	410	No
Abhydrolase_11	PF20408.1	Alpha/beta hydrolase domain	194	No
Abhydrolase_2	PF02230.19	Phospholipase/Carboxylesterase	217	No
Abhydrolase_3	PF07859.16	alpha/beta hydrolase fold	211	No
AAA_5	PF07728.17	AAA domain (dynein-related subfamily)	138	No
Abhydrolase_5	PF12695.10	Alpha/beta hydrolase family	164	No
Abhydrolase_6	PF12697.10	Alpha/beta hydrolase family	220	No
Abhydrolase_7	PF12715.10	Abhydrolase family	388	No
Abhydrolase_8	PF06259.15	Alpha/beta hydrolase	178	No
Abhydrolase_9	PF10081.12	Alpha/beta-hydrolase family	288	No
Abhydrolase_9_N	PF15420.9	Alpha/beta-hydrolase family N-terminus	209	No
Fer4_17	PF13534.9	4Fe-4S dicluster domain	61	No
AbiEii	PF08843.14	"Nucleotidyl transferase AbiEii toxin, Type IV TA system"	239	No
AAA_lid_9	PF17871.4	AAA lid domain	104	No
AAA_lid_1	PF17857.4	AAA+ lid domain	100	No
AbiEi_3	PF11459.11	"Transcriptional regulator, AbiEi antitoxin, Type IV TA system"	159	No
Fer4_21	PF14697.9	4Fe-4S dicluster domain	59	No
Fer4_22	PF17179.7	4Fe-4S dicluster domain	96	No
AbiGi	PF10899.11	"Putative abortive phage resistance protein AbiGi, antitoxin"	174	No
AbiGii_2	PF16873.8	Putative abortive phage resistance protein AbiGii toxin	397	No
Fer4_7	PF12838.10	4Fe-4S dicluster domain	52	No
AbiH	PF14253.9	Bacteriophage abortive infection AbiH	260	No
AbiJ_NTD3	PF18860.4	AbiJ N-terminal domain 3	167	No
AbiJ_NTD4	PF18863.4	AbiJ N-terminal domain 4	166	No
Fer4_8	PF13183.9	4Fe-4S dicluster domain	65	No
AbiTii	PF18864.4	AbiTii	188	No
Abi_2	PF07751.14	Abi-like protein	180	No
Abi_alpha	PF14337.9	Abortive infection alpha	194	No
Fer4_9	PF13187.9	4Fe-4S dicluster domain	52	No
Fer4_16	PF13484.9	4Fe-4S double cluster binding domain	67	No
AbLIM_anchor	PF16182.8	Putative adherens-junction anchoring region of AbLIM	366	No
Fer4_23	PF18009.4	4Fe-4S iron-sulfur cluster binding domain	82	No
Abp2	PF09441.13	ARS binding protein 2	171	No
AbrB	PF05145.15	Transition state regulatory protein AbrB	314	No
Fer4_15	PF13459.9	4Fe-4S single cluster domain	66	No
Fer4_13	PF13370.9	4Fe-4S single cluster domain of Ferredoxin I	58	No
4HPAD_g_N	PF18671.4	4-Hydroxyphenylacetate decarboxylase subunit gamma N-terminal	31	No
4PPT_N	PF17837.4	4'-phosphopantetheinyl transferase N-terminal domain	68	No
PNTB_4TM	PF12769.10	"4TM region of pyridine nucleotide transhydrogenase, mitoch"	86	No
Ac81	PF05820.14	Baculoviridae AC81	181	No
AcaB	PF08900.14	Transcriptional regulator AcaB	215	No
XRN1_DBM	PF18245.4	5-3 exonuclease XRN1 DCP1-binding motif	26	No
Acatn	PF13000.10	Acetyl-coenzyme A transporter 1	548	No
5_3_exonuc	PF01367.23	"5'-3' exonuclease, C-terminal SAM fold"	97	No
AMPKBI	PF04739.18	"5'-AMP-activated protein kinase beta subunit, interaction domain"	75	No
ABA4-like	PF14108.9	ABA DEFICIENT 4-like	127	No
ACC_central	PF08326.15	"Acetyl-CoA carboxylase, central region"	726	No
Ribosomal_60s	PF00428.22	60s Acidic ribosomal protein	88	No
ACD	PF16671.8	Actin cross-linking domain	386	No
Ribos_L4_asso_C	PF14374.9	60S ribosomal protein L4 C-terminal domain	77	No
ACDH_C	PF09317.14	"Acyl-CoA dehydrogenase, C-terminal, bacterial type"	284	No
AceK_kinase	PF06315.14	Isocitrate dehydrogenase kinase/phosphatase (AceK) kinase domain	256	No
AceK_regulatory	PF20423.1	"Isocitrate dehydrogenase kinase/phosphatase (AceK), regulatory domain"	302	No
Acetate_kinase	PF00871.20	Acetokinase family	392	No
ABC_toxin_N	PF20220.1	ABC toxin N-terminal region	124	No
ABC_tran	PF00005.30	ABC transporter	137	No
AcetylCoA_hydro	PF02550.18	Acetyl-CoA hydrolase/transferase N-terminal domain	198	No
AcetylCoA_hyd_C	PF13336.9	Acetyl-CoA hydrolase/transferase C-terminal domain	154	No
MComp1	PF20289.1	ABC-three component (ABC-3C) system Middle Component 1	101	No
MC2	PF20288.1	ABC-three component (ABC-3C) system Middle Component 2	145	No
RRP14	PF15459.9	60S ribosome biogenesis protein Rrp14	62	No
DNA_binding_1	PF01035.23	"6-O-methylguanine DNA methyltransferase, DNA binding domain"	81	No
Acetyltransf_14	PF03421.19	YopJ Serine/Threonine acetyltransferase	177	No
Acetyltransf_15	PF17013.8	Putative acetyl-transferase	210	No
Acetyltransf_16	PF05301.14	"GNAT acetyltransferase, Mec-17"	173	No
MC4	PF20290.1	ABC-three component (ABC-3C) system Middle Component 4	133	No
ABC_cobalt	PF09819.12	"ABC-type cobalt transport system, permease component"	121	No
AbiEi_1	PF09407.13	AbiEi antitoxin C-terminal domain	142	No
Acetyltransf_2	PF00797.20	N-acetyltransferase	240	No
Sec-ASP3	PF15432.9	Accessory Sec secretory system ASP3	126	No
Acetyltransf_4	PF13420.10	Acetyltransferase (GNAT) domain	155	No
IlvC	PF01450.22	"Acetohydroxy acid isomeroreductase, catalytic domain"	144	No
Acetone_carb_G	PF08882.14	Acetone carboxylase gamma subunit	114	No
Methyltransf_1N	PF02870.18	"6-O-methylguanine DNA methyltransferase, ribonuclease-like domain"	77	No
ACCA	PF03255.17	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit	144	No
AtaL	PF08982.14	Acetylaranotin biosynthesis cluster protein L	149	No
7kD_DNA_binding	PF02294.21	7kD DNA-binding domain	58	No
LHH	PF14411.9	A nuclease of the HNH/ENDO VII superfamily with conserved LHH	76	No
WHH	PF14414.9	A nuclease of the HNH/ENDO VII superfamily with conserved WHH	43	No
Acid_phosphat_B	PF03767.17	"HAD superfamily, subfamily IIIB (Acid phosphatase)"	230	No
Acid_PPase	PF12689.10	Acid Phosphatase	169	No
AcMNPV_Ac109	PF05054.15	Autographa californica nuclear polyhedrosis virus (AcMNPV) protein	390	No
AcMNPV_AC11	PF07138.14	Baculovirus protein AC11	334	No
Acyl-CoA_dh_C	PF12806.10	Acetyl-CoA dehydrogenase C-terminal like	124	No
AcMNPV_Orf101	PF05815.14	"Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf101"	352	No
Acetyltransf_10	PF13673.10	Acetyltransferase (GNAT) domain	128	No
AcMNPV_Orf18	PF07134.14	"Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf18"	328	No
AcMNPV_P18	PF05081.15	"Autographa californica nuclear polyhedrosis virus (AcMNPV), P18"	157	No
AcnX	PF04412.16	Aconitase X	401	No
RPT	PF13446.9	A repeated domain in UCH-protein	59	No
Aconitase	PF00330.23	Aconitase family (aconitate hydratase)	461	No
Aconitase_2_N	PF06434.16	Aconitate hydratase 2 N-terminus	204	No
Aconitase_B_N	PF11791.11	Aconitate B N-terminal domain	153	No
Acetyltransf_17	PF17668.4	Acetyltransferase (GNAT) domain	116	No
ACOX	PF01756.22	Acyl-CoA oxidase	181	No
A1_Propeptide	PF07966.15	A1 Propeptide	27	No
zf-A20	PF01754.19	A20-like zinc finger	24	No
A2L_zn_ribbon	PF08792.13	A2L zinc ribbon domain	33	No
Acetyltransf_18	PF18014.4	Acetyltransferase (GNAT) domain	123	No
Acetyltransf_19	PF18015.4	Acetyltransferase (GNAT) domain	114	No
Pox_A9	PF04835.15	A9 protein conserved region	53	No
AAA_assoc_2	PF16193.8	AAA C-terminal domain	82	No
AAA_lid_10	PF17872.4	AAA lid domain	99	No
ACR_tran	PF00873.22	AcrB/AcrD/AcrF family	1021	No
ACS_CODH_B_C	PF19436.2	ACS/CODH beta subunit C-terminal	245	No
AAA_lid_2	PF17863.4	AAA lid domain	73	No
Act-Frag_cataly	PF09192.13	"Actin-fragmin kinase, catalytic"	282	No
ActA	PF05058.15	ActA Protein	633	No
ActD	PF11821.11	"Alternative complex III, ActD subunit"	170	No
AAA_lid_6	PF17866.4	AAA lid domain	61	No
AAA_lid_8	PF17868.4	AAA lid domain	72	No
Actin	PF00022.22	Actin	385	No
AAA_lid_3	PF17862.4	AAA+ lid domain	45	No
Actin_micro	PF17003.8	Putative actin-like family	369	No
Acetyltransf_3	PF13302.10	Acetyltransferase (GNAT) domain	138	No
Activator_LAG-3	PF11498.11	Transcriptional activator LAG-3	468	No
AGA2	PF17366.5	A-agglutinin-binding subunit Aga2	58	No
AARP2CN	PF08142.15	AARP2CN (NUC121) domain	86	No
ABA_WDS	PF02496.19	ABA/WDS induced protein	78	No
ABC_tran_Xtn	PF12848.10	ABC transporter	85	No
ABC_tran_CTD	PF16326.8	ABC transporter C-terminal domain	69	No
MC6	PF20293.1	ABC-three component (ABC-3C) system Middle Component 6	76	No
MC7	PF20292.1	ABC-three component (ABC-3C) system Middle Component 7	69	No
Acetyltransf_5	PF13444.9	Acetyltransferase (GNAT) domain	102	No
Acetyltransf_6	PF13480.10	Acetyltransferase (GNAT) domain	142	No
Acyl-ACP_TE	PF01643.20	Acyl-ACP thioesterase	248	No
Acetyltransf_8	PF13523.9	Acetyltransferase (GNAT) domain	145	No
Acetyltransf_9	PF13527.10	Acetyltransferase (GNAT) domain	127	No
PanZ	PF12568.11	"Acetyltransferase (GNAT) domain, PanZ"	128	No
MC8	PF20295.1	ABC-three component (ABC-3C) system Middle Component 8	48	No
Acetyltransf_1	PF00583.28	Acetyltransferase (GNAT) family	117	No
ASMase_C	PF19272.2	Acid sphingomyelin phosphodiesterase C-terminal region	143	No
Aconitase_C	PF00694.22	Aconitase C-terminal domain	131	No
ACT_8	PF19571.2	ACT domain pair	141	No
ABC_trans_N	PF14510.9	ABC-transporter N-terminal	81	No
AbiJ_NTD5	PF18865.4	AbiJ N-terminal domain 5	93	No
ALP_N	PF17989.4	Actin like proteins N terminal domain	147	No
Acyltransf_2	PF19576.2	Acyltransferase	266	No
Abi_HHR	PF07815.17	Abl-interactor HHR	77	No
LktC	PF06261.14	Actinobacillus actinomycetemcomitans leukotoxin activator LktC	150	No
Acyl_transf_1	PF00698.24	Acyl transferase domain	319	No
Acyl_transf_2	PF02273.18	Acyl transferase	294	No
Acyl_transf_3	PF01757.25	Acyltransferase family	340	No
acVLRF1	PF18859.4	Actinobacteria/chloroflexi VLRF1 release factor	130	No
AC_N	PF16214.8	Adenylyl cyclase N-terminal extracellular and transmembrane region	415	No
ASH	PF15780.8	"Abnormal spindle-like microcephaly-assoc'd, ASPM-SPD-2-Hydin"	98	No
XylR_N	PF06505.14	Activator of aromatic catabolism	101	No
Abi_C	PF14355.9	Abortive infection C-terminus	83	No
AbrB_C	PF18277.4	AbrB C-terminal domain	37	No
AHSA1	PF08327.14	Activator of Hsp90 ATPase homolog 1-like protein	126	No
Aha1_N	PF09229.14	"Activator of Hsp90 ATPase, N-terminal"	137	No
AROS	PF15684.8	"Active regulator of SIRT1, or 40S ribosomal protein S19-binding 1"	130	No
ACP_PD	PF04336.15	Acyl carrier protein phosphodiesterase	105	No
Adaptin_N	PF01602.23	Adaptin N terminal region	524	No
Adap_comp_sub	PF00928.24	Adaptor complexes medium subunit family	264	No
AbrB-like	PF14250.9	AbrB-like transcriptional regulator	70	No
ADC	PF06314.14	Acetoacetate decarboxylase (ADC)	237	No
Acyl-thio_N	PF12590.11	Acyl-ATP thioesterase	130	No
Acc5b_avian_CoV	PF05528.14	"Accessory protein 5b, avian coronavirus"	82	No
Phage_Arf	PF17585.5	Accessory recombination function protein	47	No
Adenine_deam_C	PF13382.9	Adenine deaminase C-terminal domain	169	No
Adenine_glyco	PF03352.16	Methyladenine glycosylase	177	No
Adenosine_kin	PF04008.17	Adenosine specific kinase	154	No
Adeno_100	PF02438.19	Late 100kD protein	593	No
Adeno_52K	PF03052.18	Adenoviral protein L1 52/55-kDa	201	No
Adeno_E1A	PF02703.17	Early E1A protein	289	No
AcylCoA_dehyd_C	PF12186.11	Acyl-CoA dehydrogenase C terminal	111	No
Adeno_E1B_55K	PF01696.20	Adenovirus EB1 55K protein / large t-antigen	387	No
Asp4	PF16996.8	Accessory secretory protein Sec Asp4	55	No
Acyl-CoA_dh_1	PF00441.27	"Acyl-CoA dehydrogenase, C-terminal domain"	150	No
Acyl-CoA_dh_2	PF08028.14	"Acyl-CoA dehydrogenase, C-terminal domain"	134	No
Asp5	PF17000.8	"Accessory secretory protein Sec, Asp5"	71	No
Acyl-CoA_dh_N	PF02771.19	"Acyl-CoA dehydrogenase, N-terminal domain"	113	No
Bile_Hydr_Trans	PF04775.17	Acyl-CoA thioester hydrolase/BAAT N-terminal region	125	No
