#Name	Accession	Description	Length	Related
caca	TIGR00845.1	sodium/calcium exchanger 1	921	No
ENaC	TIGR00859.1	sodium channel transporter (Provisional)	596	No
O-ClC	TIGR00862.1	intracellular chloride channel protein (Provisional)	236	No
P2X	TIGR00863.1	cation transporter protein (Provisional)	372	No
PCC	TIGR00864.1	polycystin cation channel protein	2700	No
bcl-2	TIGR00865.1	apoptosis regulator (Provisional)	213	No
deg-1	TIGR00867.1	degenerin	611	No
hCaCC	TIGR00868.1	calcium-activated chloride channel protein 1 (Provisional)	863	No
sec62	TIGR00869.1	protein translocase, Sec62 family	232	No
trp	TIGR00870.1	transient-receptor-potential calcium channel protein (Provisional)	747	No
2A0109	TIGR00887.1	phosphate:H+ symporter	502	No
2A0113	TIGR00892.1	monocarboxylate transporter	455	No
2A0114euk	TIGR00894.1	Na(+)-dependent inorganic phosphate cotransporter (Provisional)	465	No
2A0119	TIGR00898.1	cation transport protein (Provisional)	506	No
2A0303	TIGR00906.1	cationic amino acid transport permease (Provisional)	602	No
2A0304	TIGR00907.1	amino acid permease	482	No
2A0308	TIGR00911.1	L-type amino acid transporter (Provisional)	505	No
2A0310	TIGR00913.1	amino acid permease	480	No
2A060601	TIGR00917.1	Niemann-Pick C type protein family (Provisional)	1204	No
2A060602	TIGR00918.1	transmembrane receptor Patched (Provisional)	1145	No
2A060605	TIGR00920.1	hydroxymethylglutaryl-CoA reductase (NADPH)	887	No
2A1704	TIGR00926.1	oligopeptide:H+ symporter	671	No
2A1904	TIGR00927.1	K+-dependent Na+/Ca+ exchanger (Provisional)	1209	No
2a30	TIGR00930.1	K-Cl cotransporter (Provisional)	936	No
2a38euk	TIGR00934.2	TRK family potassium/sodium uptake transporter	834	No
2a57	TIGR00939.1	nucleoside Transporter (Provisional)	439	No
2A43	TIGR00951.1	lysosomal Cystine Transporter (Provisional)	233	No
3a01203	TIGR00954.1	peroxysomal long chain fatty acyl transporter	660	No
3a01204	TIGR00955.1	pigment precursor permease	617	No
3a01205	TIGR00956.1	pleiotropic drug resistance family protein (Provisional)	1394	No
MRP_assoc_pro	TIGR00957.1	multi drug resistance-associated protein (MRP)	1522	No
3a01208	TIGR00958.1	antigen peptide transporter 2 (Provisional)	711	No
3a0801so1tim17	TIGR00980.1	mitochondrial import inner membrane translocase subunit tim17 (Provisional)	170	No
3a0801s02tim23	TIGR00983.1	mitochondrial import inner membrane translocase subunit (Provisional)	149	No
3a0801s03tim44	TIGR00984.1	mitochondrial import inner membrane, translocase subunit (Provisional)	376	No
3a0801s04tom	TIGR00985.1	mitochondrial import receptor subunit (Provisional)	148	No
3a0801s05tom22	TIGR00986.1	mitochondrial import receptor subunit (Provisional)	145	No
3a0801s07tom40	TIGR00989.1	mitochondrial import receptor subunit (Provisional)	161	No
3a0801s09	TIGR00990.1	mitochondrial precursor proteins import receptor (Provisional)	615	No
3a0901s02IAP34	TIGR00991.1	GTP-binding protein (Provisional)	313	No
3a0901s04IAP86	TIGR00993.1	chloroplast protein import component Toc86/159, G and M domains (Provisional)	763	No
3a0901s05TIC20	TIGR00994.1	Tic20 family chloroplast protein importer	267	No
V-ATPase_V1_B	TIGR01040.1	V-type ATPase subunit B	467	No
P5CS	TIGR01092.1	delta l-pyrroline-5-carboxylate synthetase	715	No
ATPase-IIC_X-K	TIGR01106.1	Na,H/K antiporter P-type ATPase subunit alpha	997	No
DRP1	TIGR01159.1	density-regulated protein DRP1 (Provisional)	168	No
rplA_mito	TIGR01170.1	ribosomal protein uL1, mitochondrial (Provisional)	140	No
Pmev_kin_ERG8	TIGR01219.1	phosphomevalonate kinase	456	No
Pmev_kin_anim	TIGR01223.1	phosphomevalonate kinase	185	No
rim_protein	TIGR01257.1	rim ABC transporter	2272	No
tyr_amTase_E	TIGR01264.1	tyrosine transaminase	403	No
Phe4hydrox_tetr	TIGR01268.1	phenylalanine 4-monooxygenase	436	No
Tyr_3_monoox	TIGR01269.1	tyrosine 3-monooxygenase	457	No
Trp_5_monoox	TIGR01270.1	tryptophan 5-monooxygenase	464	No
CFTR_protein	TIGR01271.1	cystic fibrosis transmembrane conductor regulator (CFTR)	1490	No
P_lamban	TIGR01294.1	phospholamban	52	No
synapt_SV2	TIGR01299.1	synaptic vesicle protein SV2 (Provisional)	742	No
E1_like_apg7	TIGR01381.1	E1-like protein-activating enzyme Gsa7p/Apg7p (Provisional)	663	No
TFSII	TIGR01385.1	transcription elongation factor S-II	300	No
Ube1	TIGR01408.1	ubiquitin-activating enzyme E1 (Provisional)	1008	No
trypano_reduc	TIGR01423.1	trypanothione-disulfide reductase	486	No
SRP54_euk	TIGR01425.1	signal recognition particle protein SRP54	428	No
AMP_deaminase	TIGR01429.1	AMP deaminase	611	No
TGR	TIGR01438.1	thioredoxin and glutathione reductase (Provisional)	485	No
CECR5	TIGR01456.1	TIGR01456 family HAD-type hydrolase	321	No
CPW_WPC	TIGR01492.1	CPW-WPC domain-containing protein	62	No
sepiapter_red	TIGR01500.1	sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)	255	No
plasmod_dom_1	TIGR01519.1	Plasmodium falciparum uncharacterized domain (Provisional)	70	No
glyc_debranch	TIGR01531.1	glycogen debranching enzyme	1443	No
HAD-SF-IE	TIGR01544.1	HAD-IE family hydrolase	283	No
A_thal_3678	TIGR01568.1	uncharacterized plant-specific domain TIGR01568 (Provisional)	67	No
A_thal_3588	TIGR01570.1	uncharacterized plant-specific domain TIGR01570 (Provisional)	161	No
A_thl_para_3677	TIGR01572.1	TIGR01572 family protein	265	No
PYST-B	TIGR01597.1	Plasmodium yoelii subtelomeric family PYST-B (Provisional)	256	No
PYST-A	TIGR01599.1	Plasmodium yoelii subtelomeric family PYST-A (Provisional)	209	No
PYST-C1	TIGR01601.1	Plasmodium yoelii subtelomeric domain PYST-C1 (Provisional)	82	No
PY-rept-46	TIGR01602.1	Plasmodium yoelii repeat of length 46 (Provisional)	46	No
PYST-C2	TIGR01604.1	Plasmodium yoelii subtelomeric domain PYST-C2 (Provisional)	150	No
PYST-D	TIGR01605.1	Plasmodium yoelii subtelomeric family PYST-D (Provisional)	55	No
PST-A	TIGR01607.1	Plasmodium subtelomeric family (Provisional)	332	No
PF_unchar_267	TIGR01609.1	Plasmodium falciparum uncharacterized protein TIGR01609 (Provisional)	146	No
235kDa-fam	TIGR01612.1	rhoptry protein	2756	No
A_thal_3542	TIGR01615.1	uncharacterized plant-specific domain TIGR01615 (Provisional)	131	No
SF-CC1	TIGR01622.1	splicing factor, CC1-like family (Provisional)	500	No
put_zinc_LRP1	TIGR01623.1	putative zinc finger domain, LRP1 type (Provisional)	43	No
F_box_assoc_1	TIGR01640.1	F-box protein interaction domain (Provisional)	232	No
U2AF_lg	TIGR01642.1	U2 snRNP auxilliary factor, large subunit, splicing factor (Provisional)	510	No
half-pint	TIGR01645.1	poly-U binding splicing factor, half-pint family (Provisional)	607	No
hnRNP-R-Q	TIGR01648.1	hnRNP-R, Q splicing factor family (Provisional)	577	No
hnRNP-L_PTB	TIGR01649.1	hnRNP-L/PTB/hephaestus splicing factor family (Provisional)	493	No
ATPase-Plipid	TIGR01652.1	phospholipid-translocating P-type ATPase	1058	No
P-ATPase-V	TIGR01657.1	P-type ATPase of unknown pump specificity (type V) (Provisional)	1055	No
EYA-cons_domain	TIGR01658.1	EYA domain-containing protein	274	No
sex-lethal	TIGR01659.1	sex-lethal family splicing factor	346	No
ELAV_HUD_SF	TIGR01661.1	ELAV/HuD family splicing factor (Provisional)	351	No
PNK-3'Pase	TIGR01663.1	bifunctional polynucleotide phosphatase/kinase	520	No
GLDHase	TIGR01676.1	L-galactonolactone dehydrogenase	541	No
pln_FAD_oxido	TIGR01677.1	FAD-dependent oxidoreductase	560	No
tegu_FGAM_synt	TIGR01739.1	herpesvirus tegument protein/v-FGAM-synthase (Provisional)	1206	No
LDH_protist	TIGR01756.1	lactate dehydrogenase	313	No
Malate-DH_plant	TIGR01757.1	malate dehydrogenase, NADP-dependent	387	No
COQ6	TIGR01989.1	ubiquinone biosynthesis monooxygenase COQ6	437	No
recomb_DMC1	TIGR02238.1	meiotic recombinase Dmc1	314	No
recomb_RAD51	TIGR02239.1	DNA repair protein RAD51	316	No
HAD_IIID1	TIGR02245.1	HAD-IIID family hydrolase	195	No
FCP1_euk	TIGR02250.1	FCP1-like phosphatase, phosphatase domain (Provisional)	156	No
chap_CCT_alpha	TIGR02340.1	T-complex protein 1 subunit alpha	536	No
chap_CCT_beta	TIGR02341.1	T-complex protein 1 subunit beta	519	No
chap_CCT_delta	TIGR02342.1	T-complex protein 1 subunit delta	517	No
chap_CCT_epsi	TIGR02343.1	T-complex protein 1 subunit epsilon	532	No
chap_CCT_gamma	TIGR02344.1	T-complex protein 1 subunit gamma	526	No
chap_CCT_eta	TIGR02345.1	T-complex protein 1 subunit eta	523	No
chap_CCT_theta	TIGR02346.1	T-complex protein 1 subunit theta	531	No
chap_CCT_zeta	TIGR02347.1	T-complex protein 1 subunit zeta	531	No
leuko_A4_hydro	TIGR02411.1	leukotriene-A(4) hydrolase/aminopeptidase	600	No
fa_ox_alpha_mit	TIGR02441.1	fatty acid oxidation complex subunit alpha	737	No
sucrsPsyn_pln	TIGR02468.1	sucrose-phosphate synthase	1051	No
gpx7	TIGR02540.1	putative glutathione peroxidase Gpx7	153	No
pter_reduc_Leis	TIGR02685.1	pteridine reductase	267	No
chlamy_scaf	TIGR02763.1	scaffolding protein	114	No
crypt_chrom_pln	TIGR02766.1	cryptochrome photoreceptor	480	No
B4_12hDH	TIGR02825.1	leukotriene B4 12-hydroxydehydrogenase/15-oxo-prostaglandin 13-reductase	327	No
mam_aldehyde_ox	TIGR02969.1	aldehyde oxidase	1330	No
lipo_lipase	TIGR03230.1	lipoprotein lipase	442	No
ascorbase	TIGR03388.1	L-ascorbate oxidase	542	No
laccase	TIGR03389.1	laccase	539	No
ascorbOXfungal	TIGR03390.1	L-ascorbate oxidase	538	No
18S_RNA_Rcl1p	TIGR03400.1	18S rRNA biogenesis protein RCL1	360	No
cyanamide_fam	TIGR03401.1	HD domain protein, cyanamide hydratase family (Provisional)	228	No
trp_dimet_allyl	TIGR03430.1	tryptophan dimethylallyltransferase	419	No
alpha_am_amid	TIGR03443.1	L-aminoadipate-semialdehyde dehydrogenase	1390	No
selen_PSTK_euk	TIGR03575.1	L-seryl-tRNA(Sec) kinase	340	No
bunya_NSm	TIGR04210.1	bunyavirus nonstructural protein NSm (Provisional)	173	No
seadorna_VP11	TIGR04230.1	seadornavirus VP11 protein (Provisional)	175	No
seadorna_VP5	TIGR04231.1	seadornavirus VP5 protein (Provisional)	505	No
seadorna_VP3	TIGR04232.1	seadornavirus VP3 protein (Provisional)	731	No
seadorna_VP8	TIGR04233.1	seadornavirus VP8 protein (Provisional)	291	No
seadorna_RNAP	TIGR04234.1	RNA-directed RNA polymerase	1144	No
seadorna_VP4	TIGR04235.1	seadornavirus VP4 protein (Provisional)	618	No
seadorna_VP2	TIGR04236.1	seadornavirus VP2 protein (Provisional)	953	No
seadorna_VP9	TIGR04237.1	seadornavirus/coltivirus VP9 protein (Provisional)	256	No
seadorna_dsRNA	TIGR04238.1	seadornavirus double-stranded RNA-binding protein (Provisional)	201	No
adenoE3CR1rpt	TIGR04241.1	mastadenovirus E3 CR1-alpha-1 (Provisional)	81	No
squa_tetra_cyc	TIGR04277.1	tetrahymanol synthase	624	No
viperin	TIGR04278.1	antiviral radical SAM protein viperin	347	No
amanitin	TIGR04309.1	amanitin/phalloidin family toxin	33	No
taxol_Phe_23mut	TIGR04473.1	phenylalanine aminomutase (L-beta-phenylalanine forming)	687	No
PT_fungal_PKS	TIGR04532.1	polyketide product template domain (Provisional)	329	No
PKS_assoc	TIGR04556.1	polyketide synthase-associated domain (Provisional)	226	No
TerS_not_xtmA	NF040601.1	phage terminase small subunit	233	No
TRP47_fam_Nterm	NF033393.0	TRP47 family tandem repeat effector	105	No
PRK06193.1-3	NF004842.0	hypothetical protein (Provisional)	209	No
PRK12787.1-1	NF009425.0	flagellar assembly regulator FliX (Provisional)	138	No
PRK14708.1	NF011295.0	flagellin (Provisional)	888	No
PRK01903.2-3	NF002512.0	ribonuclease P (Provisional)	146	No
PRK01903.3-1	NF002514.0	ribonuclease P (Provisional)	122	No
PRK14789.1	NF011370.0	lipoprotein signal peptidase (Provisional)	194	No
blaPEN-Bpc	NF000321.3	PEN family class A beta-lactamase, Bpc-type	295	No
PRK01294.1-3	NF002335.0	lipase secretion chaperone	344	No
PRK07027.1-3	NF005439.0	cobalamin biosynthesis protein CbiG (Provisional)	150	No
PRK07060.1-1	NF005464.0	short chain dehydrogenase (Provisional)	248	No
PRK08264.1-1	NF006115.0	SDR family oxidoreductase	237	No
PRK11798.2-1	NF008766.0	ClpXP protease specificity-enhancing factor	173	No
PRK12826.1-1	NF009465.0	SDR family oxidoreductase	277	No
PRK13328.1-1	NF009865.0	type III pantothenate kinase	256	No
PRK14693.1	NF011283.0	hypothetical protein (Provisional)	552	No
PRK14722.1	NF011311.0	flagellar biosynthesis regulator FlhF (Provisional)	374	No
PRK15278.1	NF011808.0	type III secretion protein BopE (Provisional)	261	No
AAC_6p_III	NF038102.1	tobramycin N-acetyltransferase AAC(6')-III	156	No
blaOXA-42_like	NF040531.1	OXA-42 family class D beta-lactamase	269	No
BimA_second	NF040983.1	trimeric autotransporter actin-nucleating factor BimA	381	No
BimD	NF041330.1	protein BimD	121	No
PRK00071.2-1	NF000842.0	nicotinate-nucleotide adenylyltransferase	191	No
PRK00092.3-3	NF000935.0	ribosome maturation factor RimP	153	No
PRK00095.2-1	NF000951.0	DNA mismatch repair endonuclease MutL	559	No
PRK00278.1-4	NF001372.0	indole-3-glycerol phosphate synthase TrpC	295	No
PRK00392.2-5	NF001574.0	DNA-directed RNA polymerase subunit omega	75	No
PRK00409.1-2	NF001619.0	endonuclease MutS2	796	No
PRK00513.2-4	NF001778.0	septum site-determining protein MinC	266	No
PRK00665.1	NF001907.0	cytochrome b6-f complex subunit PetG	38	No
PRK00704.1-3	NF001926.0	photosystem I reaction center protein subunit XI	160	No
PRK00704.2-1	NF001930.0	photosystem I reaction center protein subunit XI	166	No
PRK00753.1	NF001972.0	photosystem II reaction center protein L	39	No
PRK00951.1-3	NF002108.0	imidazoleglycerol-phosphate dehydratase HisB	205	No
PRK02504.1	NF002701.0	NAD(P)H-quinone oxidoreductase subunit N	513	No
PRK02507.1-1	NF002703.0	proton extrusion protein PcxA	447	No
PRK02507.1-2	NF002704.0	proton extrusion protein PcxA (Provisional)	410	No
PRK02507.1-5	NF002706.0	proton extrusion protein PcxA	469	No
PRK02515.1	NF002708.1	photosystem II complex extrinsic protein PsbU	137	No
PRK02546.1	NF002713.0	NAD(P)H-quinone oxidoreductase subunit 4	533	No
PRK02597.1	NF002724.0	DNA-directed RNA polymerase subunit beta'	1338	No
PRK02603.1	NF002725.1	photosystem I assembly protein Ycf3	173	No
PRK02610.1	NF002726.0	histidinol-phosphate transaminase	374	No
PRK02625.1	NF002729.0	DNA-directed RNA polymerase subunit gamma	626	No
PRK02645.1	NF002731.0	NAD(+) kinase	305	No
PRK02649.1	NF002732.0	NAD(+) kinase	305	No
PRK02654.1	NF002734.0	membrane protein insertase YidC	384	No
PRK02655.1	NF002735.0	photosystem II reaction center protein I	38	No
PRK02724.1	NF002740.0	30S ribosomal protein PSRP-3	117	No
PRK02726.1	NF002741.0	molybdenum cofactor guanylyltransferase	200	No
PRK02733.1	NF002743.0	photosystem I reaction center subunit IX	44	No
PRK02746.1	NF002744.0	4-hydroxythreonine-4-phosphate dehydrogenase PdxA	346	No
PRK02749.1	NF002745.0	photosystem I reaction center subunit IV	71	No
PRK02812.1	NF002758.0	ribose-phosphate pyrophosphokinase	330	No
PRK04447.1-6	NF003373.0	hypothetical protein (Provisional)	367	No
PRK05500.1	NF004034.0	bifunctional orotidine-5'-phosphate decarboxylase/orotate phosphoribosyltransferase	478	No
PRK05940.1	NF004610.0	anthranilate synthase component I	467	No
PRK05942.1	NF004611.0	aspartate aminotransferase	394	No
PRK05945.1	NF004613.0	succinate dehydrogenase/fumarate reductase flavoprotein subunit	575	No
PRK05948.1	NF004614.0	precorrin-2 C(20)-methyltransferase	242	No
PRK05949.1	NF004615.0	RNA polymerase sigma factor (Provisional)	327	No
PRK05952.1	NF004618.0	beta-ketoacyl-ACP synthase	384	No
PRK05953.1	NF004619.0	precorrin-8X methylmutase	208	No
PRK05954.1	NF004620.0	precorrin-8X methylmutase (Provisional)	205	No
PRK06076.1-5	NF004744.0	NADH-quinone oxidoreductase subunit NuoH	372	No
PRK06473.1	NF005060.0	NADH-quinone oxidoreductase subunit M	500	No
PRK06638.1-3	NF005163.0	NADH-quinone oxidoreductase subunit J	203	No
PRK07234.1-2	NF005562.0	putative monovalent cation/H+ antiporter subunit D (Provisional)	492	No
PRK07352.1	NF005606.0	F0F1 ATP synthase subunit B	175	No
PRK07353.1	NF005607.0	F0F1 ATP synthase subunit B'	155	No
PRK07363.1	NF005611.0	NADH-quinone oxidoreductase subunit M	501	No
PRK07364.1	NF005612.0	FAD-dependent hydroxylase	415	No
PRK07369.1	NF005614.0	dihydroorotase	419	No
PRK07370.1	NF005615.0	enoyl-ACP reductase FabI	259	No
PRK07373.1	NF005616.0	DNA polymerase III subunit alpha (Provisional)	449	No
PRK07374.1	NF005617.0	DNA polymerase III subunit alpha	1170	No
PRK07376.1	NF005626.0	NAD(P)H-quinone oxidoreductase subunit 5	675	No
PRK07377.1-4	NF005628.0	hypothetical protein (Provisional)	195	No
PRK07377.1-6	NF005630.0	hypothetical protein (Provisional)	187	No
PRK07390.1	NF005633.0	NAD(P)H-quinone oxidoreductase subunit F	613	No
PRK07394.1	NF005635.0	hypothetical protein (Provisional)	348	No
PRK07395.1	NF005636.0	L-aspartate oxidase	560	No
PRK07399.1	NF005638.0	DNA polymerase III subunit delta' (Provisional)	317	No
PRK07400.1	NF005639.0	30S ribosomal protein S1 (Provisional)	318	No
PRK07402.1	NF005640.0	precorrin-6Y C5,15-methyltransferase subunit CbiT	200	No
PRK07403.1	NF005641.0	type I glyceraldehyde-3-phosphate dehydrogenase	337	No
PRK07405.1	NF005642.0	RNA polymerase sigma factor SigD (Provisional)	318	No
PRK07406.1	NF005643.0	RNA polymerase sigma factor RpoD	397	No
PRK07408.1	NF005644.0	RNA polymerase sigma factor SigF (Provisional)	258	No
PRK07411.1	NF005646.0	molybdopterin-synthase adenylyltransferase MoeB	390	No
PRK07413.1	NF005647.0	cob(I)yrinic acid a,c-diamide adenosyltransferase	382	No
PRK07414.1	NF005648.0	P-loop NTPase family protein	178	No
PRK07417.1	NF005650.0	prephenate/arogenate dehydrogenase	281	No
PRK07418.1	NF005651.0	acetolactate synthase large subunit	617	No
PRK07424.1	NF005653.0	bifunctional sterol desaturase/short chain dehydrogenase	414	No
PRK07445.1-4	NF005662.0	O-succinylbenzoic acid--CoA ligase (Provisional)	467	No
PRK07451.1	NF005669.0	translation initiation factor	116	No
PRK07454.1	NF005672.0	SDR family oxidoreductase	241	No
PRK07455.1	NF005673.0	bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase	213	No
PRK07459.1	NF005674.0	single-stranded DNA-binding protein	121	No
PRK07598.1	NF005785.0	RNA polymerase sigma factor SigC	415	No
PRK09303.1	NF006800.0	histidine kinase	383	No
PRK09319.1	NF006806.0	bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II	561	No
PRK09532.1	NF007079.0	DNA polymerase III subunit alpha	876	No
PRK09566.1	NF007125.0	ferredoxin--nitrite reductase	513	No
PRK09585.2-2	NF007143.0	anhydro-N-acetylmuramic acid kinase	382	No
PRK10917.2-4	NF008170.0	ATP-dependent DNA helicase RecG	826	No
PRK11713.4-1	NF008697.0	16S rRNA (uracil(1498)-N(3))-methyltransferase	250	No
PRK11874.1	NF008824.0	cytochrome b6-f complex subunit PetL	31	No
PRK11875.1	NF008825.0	photosystem II reaction center protein T	31	No
PRK11876.1-2	NF008826.1	cytochrome b6-f complex subunit PetM	32	No
PRK11877.1	NF008830.0	photosystem I reaction center subunit VIII	38	No
